description,business_type
as-cls-ky0vrmuv-g1042368100_系统盘_3,generic-autoscaling
as-cls-og2bff5d_koala_resource_asg_系统盘_7_asg-516yj63h,generic-autoscaling
as-contest-cpu-as-cls-kytmrl15-S3.2XLARGE32_系统盘_asg-58ua0vgx,generic-autoscaling
as-contest-cpu-as-cls-kytmrl15_系统盘_0_asg-gymsgzxb,generic-autoscaling
as-cpu-4x-1_系统盘_28_asg-fmkmo90x,generic-autoscaling
as-cpu-4x-1_系统盘_31,generic-autoscaling
as-cpu-4x-2_系统盘_42_asg-ieeba13n,generic-autoscaling
as-cpu-4x-cls-b4atq1ob_系统盘,generic-autoscaling
as-cpu-4x-cls-b4atq1ob_系统盘_1,generic-autoscaling
as-cpu-sh2M2-16c128g-cd_系统盘_29_asg-645gw5wd,generic-autoscaling
as-cpu-sh2M2-16c128g-cdv2_系统盘_10_asg-a6q5g4tv,generic-autoscaling
as-cpu-sh2M2-16c128g-cdv2_系统盘_47,generic-autoscaling
as-cpu-sh2S2-16c32g-cdv2_系统盘_33_asg-k8zlrakz,generic-autoscaling
as-cpu-sh2S2-16c32g-cdv2_系统盘_48,generic-autoscaling
as-cpu-sh2S2-8c16g-cdv2_系统盘_22_asg-8e11h6v3,generic-autoscaling
as-cpu-sh2S4-16c32g-cdv2_系统盘_3_asg-rpc87j0b,generic-autoscaling
as-glencai-tke-asg_系统盘,infra-node
as-glencai-tke-asg_系统盘_0,generic-autoscaling
as-gpu-v_5,ai-machine-learning
as-ha_系统盘_1_asg-bwcr9uwl,generic-autoscaling
as-jhj,generic-autoscaling
as-jiayuan.91ysc.com_系统盘_0,community-social-forum
as-mesh-master-s3-8c16g-20_数据盘_0_asg-r9sumofx,generic-autoscaling
as-mesh-master-s3-8c16g-20_数据盘_asg-r9sumofx,generic-autoscaling
as-moegirl-scaling_系统盘,generic-autoscaling
as-moegirl-scaling_系统盘_0_asg-g71enpa3,generic-autoscaling
as-moegirl-scaling_系统盘_1,generic-autoscaling
as-moegirl-scaling_系统盘_asg-g71enpa3,generic-autoscaling
as-monitor_32g_s3_系统盘_asg-29v186wh,generic-autoscaling
as-monitor_32g_s_1,infra-logging-monitoring
as-nex-server-test-01-01_SYSTEM_DISK_1_asg-n3upvgqb,generic-autoscaling
as-p2prelay-server-test-01_SYSTEM_DISK_1_asg-qxz9kiut,generic-autoscaling
as-prd-sohoipc-relay-2.0.2_系统盘_asg-fevqvvw5,generic-autoscaling
as-prd-sohoipc-relay2nd-2.0.1_系统盘,generic-autoscaling
as-prd-sohoipc-relay2nd-2.0.1_系统盘_asg-gycowbch,generic-autoscaling
as-qta-tce-group-14838_系统盘,generic-autoscaling
as-qta-tce-group-18481_系统盘_asg-qltxym1r,generic-autoscaling
as-tcr-sh-as-s3_系统盘_asg-noadl5px,generic-autoscaling
as-tione-gpu-as-GN10X.18XLARGE320-cls-barzwzlp_系统盘_asg-54dck2tb,ai-machine-learning
as-tke-master-s,infra-node
as-tke-master-s4-32g-premium,infra-node
as-tke-master-s4-32g-premium_3,infra-coordination
as-tke-master-s4-32g-premium_数据盘_1_asg-mkw1hk5z,infra-node
as-tke-master-s4-32g-premium_数据盘_asg-mkw1hk5z,infra-node
as-tke-master-s4-32g-premium_系统盘_1_asg-mkw1hk5z,infra-node
as-tke-master-s4-32g-premium_系统盘_asg-mkw1hk5z,infra-node
as-tke-master-s_4,infra-coordination
as-tke-monitor-s,infra-logging-monitoring
as-tke-monitor-s_0,infra-logging-monitoring
as-tke-np-qf4inynn_数据盘_4_asg-8jpbxe9h,infra-node
as-trial_系统盘_asg-e0lx8wl3,generic-autoscaling
as-tts-es_13,generic-autoscaling
as-xufei_cls-9fzf6tdr_pvc-9f0db2a8-7e13-4d5a-809e-abb5b76db2b1,generic-autoscaling
as-xufei_cls-9fzf6tdr_pvc-b7408fdb-0f63-4e77-a5f6-96035f596a78,generic-autoscaling
as-xufei_cls-9fzf6tdr_pvc-b94eadf6-7906-49f2-b164-e2873424fe8b,infra-node
as-xufei_cls-9fzf6tdr_pvc-f934eef8-a571-4abb-a04a-b6b67f7cb97a,generic-autoscaling
as-平台容器服务伸缩组_数据盘_asg-1tswhfq7,generic-autoscaling
as-恰饭助手_系统盘_8,generic-autoscaling
as202,generic-autoscaling
asa,generic-autoscaling
asch-testnet,dev-test-env
asdFGHjkl,generic-unknown
asdfghjk,generic-unknown
asg-0yycn4dz_云端磁盘_高性能影视服务器,media-video-streaming
ask,generic-unknown
ask-xyx234.com_ask.haoxyx.com,community-social-forum
askform,iot-saas-platform
aslipi,generic-unknown
asn,generic-unknown
asset,office-system
at-cluster版号审核服,game-service
atscloud,generic-unknown
audio-ae1.sh.sm,media-video-streaming
audio-ae16.sh.sm_audio-tmp_系统盘_8_音频,media-video-streaming
audio-ae3.sh.sm_3,media-video-streaming
audio-ae7.sh.sm_audio-ae_new_系统盘_音频,media-video-streaming
audio-ae_new_数据盘_8_audio-be7.sh.sm_音频,media-video-streaming
audio-ae_new_系统盘_audio-be11.sh.sm_音频,media-video-streaming
auglb,generic-unknown
auth.huidian.api_1,iot-saas-platform
auto_k8s_node_k8s-store-etcd,infra-coordination
autonet,iot-saas-platform
autopay1_系统盘,finance-payment
auxsit,generic-unknown
ava,generic-unknown
avive,generic-unknown
avpn,infra-jumpbox
awesome,generic-unknown
aws,generic-unknown
awun,generic-unknown
azalea,generic-unknown
azkaban_和_kettle,data-collection-delivery
azpro.cn,corp-website-portal
b,generic-unknown
b_git-data,dev-test-env
babistep_server,ecommerce-retail
babypush,data-collection-delivery
backend-sh,generic-unknown
backup,infra-node
backup-sd_交付业务_402489,data-collection-delivery
backup-sd_交付业务_402489_0,logistics-mobility
bacon游戏使用version,game-service
bacon游戏使用version_2,game-service
badmintain,generic-unknown
bai-cy,generic-unknown
balancematrix_data,finance-payment
bamahelpHost,gov-public-service
bamboo,dev-test-env
bank,finance-payment
bao_夺宝,ecommerce-retail
baobao,community-social-forum
baobaoquanzi,community-social-forum
baoluzhixin,community-social-forum
baoxiu.co,local-service-delivery
baozi_数据盘2,infra-node
basaker,generic-unknown
base02-test_qd-test-base,dev-test-env
base_0,infra-node
base_ops,infra-jumpbox
basic,generic-unknown
bastion-01_planet-sh,infra-jumpbox
bastion_企简ERP,infra-jumpbox
batch.env-n73ir7cu,dev-test-env
batch.env-nc7mskmw,dev-test-env
batch.job-3314zqqs.task-5e8d63eb60b2a08cebe0ff5c-2.39_系统盘,generic-unknown
batch.job-5eynvyqo.task-5f28c53460b2f592551c54a9-3.0_系统盘,generic-unknown
batch.job-c24gkjka.task-5f28bfa860b2f592551c5434-2.0_系统盘,compute-simulation
batch.job-de8xqxs4.task-5f28c53560b2f592551c54b8-2.1_系统盘,generic-autoscaling
batch.job-e15kjy94.task-5f28c6bd60b2f592551c5500-2.0_系统盘,generic-unknown
batch.job-k6g32szu.task-5f1a7bbc60b258c60468fd4a-2.0_系统盘,infra-node
batch.job-oks80m82.task-5f28c6bd60b2f592551c550b-2.0_系统盘,compute-simulation
batch.job-p8movp46.task-5f28d09460b2f592551c5541-2.0_系统盘,compute-simulation
batmanproxy,infra-node
battle,game-service
baymux,media-video-streaming
bbbb_系统盘_6,infra-node
bbq1_野蛮人大作战-REDIS,infra-cache
bbq_野蛮人PC,game-service
bbq_野蛮人大作战-MYSQL,infra-database
bbq_野蛮人大作战-PC-MYSQL,game-service
bbq_野蛮人大作战-redis,infra-cache
bchan‘s-server,personal-use
bd_daidai,finance-payment
bdcash.com和emailcrm.tech,office-system
bdcgh_本地硬盘,infra-node
bdd-xitong_包多多-windows-4GB-sh,logistics-mobility
bdklz_n,generic-unknown
bdmscser_网销大数据营销服务中心UAT,dev-test-env
bdstore-shanghai,infra-database
be-img-gpu15_数据盘,media-video-streaming
be-img-gpu15_数据盘_0,ai-machine-learning
be-img-gpu51.sh.sm_图片_数据盘_4,ai-machine-learning
be-img-gpu61.sh.sm_be-img-gputmp_数据盘_1,ai-machine-learning
be-img-gpu61.sh.sm_be-img-gputmp_系统盘,ai-machine-learning
be-img-gpu_图片_1,ai-machine-learning
be-text-classification2.sh.sm_系统盘_be-text-classification3.sh.sm_文本,ai-machine-learning
be-text-classification4.bj.sm,ai-machine-learning
be-text-classification4.bj.sm_4,ai-machine-learning
be-text-detection3.sh.sm_be-text-detection_系统盘_文本,ai-machine-learning
be-voice-asr-new_数据盘_11_be-voice-asr124.sh.sm_音频,ai-machine-learning
be-voice-asr-new_系统盘_be-voice-asr126.sh.sm_音频,ai-machine-learning
be-voice-asr101.sh.sm_be-voice-asr_new_系统盘_音频,ai-machine-learning
be-voice-asr14_系统盘_be-voice-asr150.sh.sm,ai-machine-learning
be-voice-asr151.sh.sm_be-voice-asr15_系统盘,ai-machine-learning
be-voice-asr158.sh.sm_be-voice-asr15_数据盘_1,ai-machine-learning
be-voice-asr160_数据盘_be-voice-classification34.sh.sm,ai-machine-learning
be-voice-asr16_数据盘_2_be-voice-classification21.sh.sm,ai-machine-learning
be-voice-asr16_系统盘_be-voice-classification33.sh.sm,ai-machine-learning
be-voice-asr18.sh.sm_be-voice-asr_new_数据盘_31_音频,ai-machine-learning
be-voice-asr5.sh.sm,ai-machine-learning
be-voice-class-tmp_系统盘_be-voice-classification28.sh.sm_音频,ai-machine-learning
be-voice-classification-new_数据盘_3_be-voice-classification16.sh.sm_音频,ai-machine-learning
be-voice-classification-new_系统盘_be-voice-classification11.sh.sm_音频,ai-machine-learning
be-voice-classification19.sh.sm_系统盘_be-voice-classification20.sh.sm_音频,ai-machine-learning
be-voice-classification212.sh.sm,ai-machine-learning
beauty,ecommerce-retail
bednlinen,ecommerce-retail
bee,data-collection-delivery
beeoz-gs,game-service
beian,gov-public-service
beichneg,generic-unknown
beifen,generic-unknown
beifen,generic-unknown
benwei,finance-payment
besbing,generic-unknown
besteverior,generic-unknown
beta-mid,dev-test-env
beta-test,dev-test-env
beta-win-系统盘_mssp-beta-win_云签名业务系统,dev-test-env
bh3rd-yyb_yyb01-11-2T,game-service
bhlog,community-social-forum
bhy,generic-unknown
bi_hadoop,ai-machine-learning
bianyueSH_bianyueyun,iot-saas-platform
bid_txsh-other-sap-dev-app-_系统盘,dev-test-env
big,generic-unknown
big_gitlab,dev-test-env
bigbossboss,game-service
bigdata-emr-common_1,compute-simulation
bigdata-emr-core_0,compute-simulation
bigdata-guide,education-learning
bigdata-hbase_上海二区online,infra-database
bigdata-hdfs_3_上海二区大数据,infra-node
bigdata-ignite-2_ourui-ignite_上海二区大数据,compute-simulation
bigdata-pro01.kfk.com,infra-message-queue
bigdata_recommendation,ai-machine-learning
bigdata_rpush-task,infra-message-queue
bigmagic,game-service
bilimall,ecommerce-retail
bilive,media-video-streaming
bill-server,finance-payment
bingo-health,game-service
bingxue,game-service
binxinshi,corp-website-portal
bip03ascs_txsh-other-sap-xxx_系统盘,office-system
bird,generic-unknown
bitposnet_seo,corp-website-portal
bityi_sysdisk,infra-node
biz_数据盘_0,generic-unknown
biz_系统盘,generic-unknown
bizcent-b2b-crm-jiaoben_1,office-system
bizcent-b2b-crm-mysql15-liguangyang_1,office-system
bizcent-b2b-czyl-test93-zhangmin,dev-test-env
bizcent-b2b-retailsmc-mysql14-yuyong_0,infra-database
bizcent-bigdata-caiji-canal,data-collection-delivery
bizcent-bigdata-hdp-mysql,infra-database
bizcent-bigdata-search-mongodb,infra-database
bizcent-bigdata-sjcj-yfyy,data-collection-delivery
bizcent-bigdata-sjcj-yfyy_0,data-collection-delivery
bizcent-bigdata-storm-240-_数据盘_1,compute-simulation
bizcent-bigdata-tmq,infra-message-queue
bizcent-bigdata-tmq-kafka,infra-message-queue
bizcent-bigdata-tmq-kafka-240-_系统盘,infra-message-queue
bizcent-bigdata-tmq-kafka_0_上海二区大数据,infra-message-queue
bizcent-bigdata-tmq-kafka_上海二区大数据_6,infra-message-queue
bizcent-bigdata-tmq-sxdl-240-_数据盘_2,infra-message-queue
bizcent-cjy-bbd-cwzz-mysql,infra-database
bizcent-cjy-bbd-mysql_0,infra-database
bizcent-cjy-bbd-mysql_上海二区online_1,infra-database
bizcent-cjy-bbd-test-1-_数据盘_0,dev-test-env
bizcent-cjy-bbd-xsbb-mysql,infra-database
bizcent-cjy-bbd-xsbb-mysql_1,infra-database
bizcent-cjy-bbd-ysys,office-system
bizcent-cjy-bigdata-jiaoben,data-collection-delivery
bizcent-cjy-bigdata-report_0,data-collection-delivery
bizcent-cjy-csm-mysql,infra-database
bizcent-cjy-czyl-serch,office-system
bizcent-cjy-czyl-xcbb-test,dev-test-env
bizcent-cjy-czyl-yunerp,office-system
bizcent-cjy-czyl-yunerp-mysql,infra-database
bizcent-cjy-dt-sfdj_1,dev-test-env
bizcent-cjy-dt-sfll-mysql,infra-database
bizcent-cjy-erp-test-1-_系统盘,dev-test-env
bizcent-cjy-fxz-yyfb,office-system
bizcent-cjy-fxz-yyfb_1,dev-test-env
bizcent-cjy-lsgc-app_0,logistics-mobility
bizcent-cjy-lsgc-mysql,infra-database
bizcent-cjy-lsgc-rddsb2bc_1,logistics-mobility
bizcent-cjy-lsgc-smg-mysql,infra-database
bizcent-cjy-lsgc-suguo-mysql,infra-database
bizcent-cjy-lsgc-test84-gongwei,dev-test-env
bizcent-cjy-lsgc-test99-yuyong,dev-test-env
bizcent-cjy-oa-tbj,office-system
bizcent-cjy-sanfang-mysql_0,infra-database
bizcent-cjy-sanfang-mysql_上海二区online_1,infra-database
bizcent-cjy-sdeer-gp-test-_系统盘,dev-test-env
bizcent-cjy-sdeer-mysql,infra-database
bizcent-cjy-sqg-jcfw-_系统盘,generic-unknown
bizcent-cjy-suguo-17-_系统盘,office-system
bizcent-cjy-wjfw-mongodb,infra-database
bizcent-cjy-wuliu-ignite,logistics-mobility
bizcent-cjy-wuliu-ignite_0,logistics-mobility
bizcent-cjy-yczx-_系统盘,office-system
bizcent-cjy-yunerp-ggjc_2,office-system
bizcent-cjy-yunerp-mysql_0,infra-database
bizcent-cjy-yunerp-spu,office-system
bizcent-ecology-oa-app,office-system
bizcent-ecology-oa-mysql_0,office-system
bizcent-finance-wallet-mysql10-chengzhengrong_1,infra-database
bizcent-houtai-b2b-tidb,infra-database
bizcent-houtai-b2b-tikv,infra-database
bizcent-houtai-bigdata-sjts,data-collection-delivery
bizcent-houtai-bigdata-sjts_0,data-collection-delivery
bizcent-houtai-bigdata_1,data-collection-delivery
bizcent-houtai-bigdata_上海二区大数据_4,compute-simulation
bizcent-houtai-import,office-system
bizcent-houtai-sjtb224-wangjin_3,office-system
bizcent-houtai-tableau,office-system
bizcent-linkkids-b2b-yfyy,education-learning
bizcent-linkkids-b2b-yfyy_1,education-learning
bizcent-linkkids-bbd-k8s-frontapp,education-learning
bizcent-linkkids-bbd-k8s-frontapp_5,education-learning
bizcent-linkkids-fkbx-ecology-nginx,education-learning
bizcent-linkkids-fkbx-emobile,education-learning
bizcent-linkkids-gmc-_系统盘,game-service
bizcent-linkkids-greenplum-master,infra-database
bizcent-linkkids-greenplum-segment_2,infra-database
bizcent-linkkids-greenplum-segment_gp-disk_0,infra-database
bizcent-linkkids-htfw-_系统盘_bizcent-linkkids-htfw-mysql,infra-database
bizcent-linkkids-mysql-slave-_系统盘,infra-database
bizcent-linkkids-nginx-neibu,education-learning
bizcent-linkkids-nginx-waibu,education-learning
bizcent-linkkids-thb-16-_数据盘_0,education-learning
bizcent-linkkids-thb-16-_系统盘,education-learning
bizcent-middle-back-basic_1,office-system
bizcent-middle-back-fxz_0,office-system
bizcent-middle-basic-mongodb_0,infra-database
bizcent-middle-fxzdd-mysql_0,infra-database
bizcent-middle-glxt-fwpz,office-system
bizcent-middle-glxt-fwpz_2,office-system
bizcent-middle-glxt-mysql,infra-database
bizcent-middle-kucun-app,logistics-mobility
bizcent-middle-kucun-app_0,logistics-mobility
bizcent-middle-membersystem-mysql-14-_数据盘,infra-database
bizcent-middle-oms-ao,ecommerce-retail
bizcent-middle-oms-ao_3,ecommerce-retail
bizcent-middle-oms-tws,logistics-mobility
bizcent-middle-oms-tws,logistics-mobility
bizcent-middle-oms-tws_2,ecommerce-retail
bizcent-middle-pzzx-mysql,infra-database
bizcent-middle-shangxiang-tws,office-system
bizcent-middle-yunpos-ao,ecommerce-retail
bizcent-middle-yunpos-ao_3,ecommerce-retail
bizcent-platform-caiji,data-collection-delivery
bizcent-platform-caiji,data-collection-delivery
bizcent-platform-caiji-canal,data-collection-delivery
bizcent-platform-caiji-kafka,infra-message-queue
bizcent-platform-caiji-kafka_5,infra-message-queue
bizcent-platform-caiji-test_3,dev-test-env
bizcent-platform-caiji_3,data-collection-delivery
bizcent-platform-caji-kafka-_系统盘,infra-message-queue
bizcent-platform-esf,office-system
bizcent-platform-esf-mysql,infra-database
bizcent-platform-k8s-computer,infra-node
bizcent-platform-k8s-ingress,infra-node
bizcent-platform-kafka,infra-message-queue
bizcent-platform-kafka_3,infra-message-queue
bizcent-platform-monitor,infra-logging-monitoring
bizcent-platform-proxy,iot-saas-platform
bizcent-platform-proxy_1,infra-node
bizcent-platform-qx,iot-saas-platform
bizcent-platform-redis,infra-cache
bizcent-platform-redis-_数据盘_4,infra-cache
bizcent-platform-redis-_系统盘,infra-cache
bizcent-platform-redis-test,infra-cache
bizcent-platform-redis_3,infra-cache
bizcent-platform-rpc-16-_数据盘_2,iot-saas-platform
bizcent-platform-search,office-system
bizcent-platform-search-bbd9-liuguoqing_0,office-system
bizcent-platform-search-solr,infra-database
bizcent-platform-search-test_0,dev-test-env
bizcent-platform-search_2,iot-saas-platform
bizcent-platform-sjtd,iot-saas-platform
bizcent-platform-test-mysql_3,infra-database
bizcent-platform-test-redis,dev-test-env
bizcent-platform-test-redis_2,infra-cache
bizcent-platform-tmq,infra-message-queue
bizcent-platform-tmq-controller,infra-message-queue
bizcent-platform-tmq-test,dev-test-env
bizcent-platform-tmq_2,infra-message-queue
bizcent-platform-ztsp-es,infra-logging-monitoring
bizcent-platform-ztsp-es-14-_数据盘,infra-logging-monitoring
bizcent-platform-ztsp-es_上海二区online_2,infra-logging-monitoring
bizcent-qyfw-im,community-social-forum
bizcent-qyfw-im_1,office-system
bizcent-qyfw-node-app,office-system
bizcent-scht-app,office-system
bizcent-scht-mysql,infra-database
bizcent-scht-mysql_1,infra-database
bizcent-scht-mysql_上海二区online_1,infra-database
bizcent-scht-yyxt,office-system
bizcent-sdeer-sjtb-test,dev-test-env
bizcent-sdeer-tysp-mysql,infra-database
bizcent-sdeer-tysp-mysql54-shanchu,infra-database
bizcent-sdeer-tysp-mysql91-shanchu_0,infra-database
bizcent-yunwei-consul,infra-coordination
bizcent-yunwei-consul_3,infra-coordination
bizcent-yunwei-k8s-images-test,dev-test-env
bj-apes-dev,dev-test-env
bj-sso-server,office-system
bj-z2-vpc1-asqcs_0,generic-autoscaling
bjl,game-service
bjsp-jiekou_jiekou-Slj-ll-zc-890*(),data-collection-delivery
bkci-consul,infra-coordination
bkrepo-generic,dev-test-env
blacker999云服务器,generic-unknown
blade,infra-node
block.LTD,generic-unknown
blockchain,finance-payment
blog,community-social-forum
blog-server,community-social-forum
bloodangel,game-service
blossom-reserve.cn,travel-hospitality
blue,generic-unknown
bluesky,community-social-forum
bluewhale,iot-saas-platform
blueye_engin,game-service
blune,generic-unknown
bm33122六号机,infra-node
bmi,gov-public-service
bmw-v2020gx,office-system
bncz-download-s54G,data-collection-delivery
bo,generic-unknown
bobtencent,generic-unknown
boge,generic-unknown
bomai,generic-unknown
bookbird,ecommerce-retail
bosquest,game-service
bosslove_gm_tlog_乙女国服,game-service
bosslove_i2_jump_乙女国服,game-service
boss数据库,infra-database
bot,data-collection-delivery
bot用,data-collection-delivery
bowei,generic-unknown
boyannaji,generic-unknown
boyka,game-service
boyuan,generic-unknown
bozar,generic-unknown
bp-sh,office-system
brand,corp-website-portal
brian,generic-unknown
brian-disk,generic-unknown
brian-hsiung,personal-use
browser_web-all,data-collection-delivery
bs-sh-debug-windows-demo,dev-test-env
bstatic,data-collection-delivery
bt,data-collection-delivery
bt,data-collection-delivery
bt-im-mysql5.6-php7.,community-social-forum
bt_game,game-service
bt_kf,office-system
btc,finance-payment
btxgame_pvp,game-service
build-sh,dev-test-env
buqieryu,generic-unknown
burning-竞品对比测试-勿删_3,dev-test-env
bushishan,generic-unknown
business-formal-sys,office-system
buxu,generic-unknown
buxu_windows-1GB-sh-9747_系统盘,dev-test-env
buzhidao_系统盘,generic-unknown
bx-centos,generic-unknown
bxs,generic-unknown
bzdxgbe,generic-unknown
bzl,generic-unknown
bzxs,generic-unknown
c,generic-unknown
c3dsee_data,media-video-streaming
c5.Battle.svr,game-service
c5.DBServer,infra-database
c5.PublicGate,infra-jumpbox
c_master,infra-coordination
ca04-大数据,compute-simulation
caas_test_env_B_node1_yun,dev-test-env
cache,infra-cache
cacti_os+data,infra-logging-monitoring
caihong,game-service
cainiaocoder,education-learning
caiwu_财务,finance-payment
calc-sys,compute-simulation
call-test,dev-test-env
callmehus,generic-unknown
camok-weapp,generic-unknown
campus_1u2g,education-learning
canaan-node,compute-simulation
canary_js_txshjs-canary-web,dev-test-env
cangyang,generic-unknown
cangying,generic-unknown
cannli,generic-unknown
canpv.org,generic-unknown
cantukj,generic-unknown
caoliang-B2B_上海二区online,ecommerce-retail
caoliang-B2B_上海二区online_1,ecommerce-retail
caoliang-mysqlslave,infra-database
caoym,generic-unknown
caozm-devops,dev-test-env
captcha,generic-unknown
captcha-8,data-collection-delivery
carbonliv,finance-payment
card.doforsys.net,finance-payment
carrot,generic-unknown
carson,generic-unknown
cash_back,ecommerce-retail
cassandra-1-cass-danax-live18-mcc-cn-tcs1_SYSTEM_DISK_cassandracass-danax-live18-mcc-cn-tcs,infra-database
cassandra-1-cass-pasdevel-work0-opns-cn-tcs1_SYSTEM_DISK_cassandracass-pasdevel-work0-opns-cn-tcs,infra-database
cassandra-4-cass-btca-test10-mcc-cn-tcs1_SYSTEM_DISK_cassandracass-btca-test10-mcc-cn-tcs,infra-database
cassandracass-btco-live10-mcc-cn-tcs,infra-database
cassandracass-btco-test10-mcc-cn-tcs,dev-test-env
cassandracass-btev-live10-mcc-cn-tcs,infra-database
cassandracass-btev-test10-mcc-cn-tcs,infra-database
cassandracass-btex-live10-mcc-cn-tcs,infra-database
cassandracass-btex-test10-mcc-cn-tcs,infra-database
cassandracass-btp-live10-mcc-cn-tcs,infra-database
cassandracass-btp-test10-mcc-cn-tcs,infra-database
cassandracass-dana-live18-mcc-cn-tcs,infra-database
cassandracass-idam-live1-mcc-cn-tcs,infra-database
cassandracass-idam-test1-mcc-cn-tcs,infra-database
cassandracass-oc-live10-mcc-cn-tcs,infra-database
cassandracass-odm-test10-mcc-cn-tcs,infra-database
cassandracass-oom-test10-mcc-cn-tcs,infra-database
cassandracass-opp-live10-mcc-cn-tcs,infra-database
cassandracass-opp-test10-mcc-cn-tcs,infra-database
cassandracass-ops10-live0-peng-cn-tcs,infra-database
cassandracass-ot-live10-mcc-cn-tcs,infra-database
cassandracasswork0-opns-cn-tcs,infra-database
cath5-1_系统盘_catwaba,generic-unknown
catweipin,ecommerce-retail
catynaimiao,generic-unknown
caution,infra-logging-monitoring
cbstest-in-deploy,dev-test-env
cbz,data-collection-delivery
cb邮局,logistics-mobility
cc,finance-payment
cc,finance-payment
cc-cloud,generic-unknown
cccc,generic-unknown
cccyl_mydate,community-social-forum
ccl,generic-unknown
ccqworker,infra-message-queue
ccs-node,infra-node
ccs-node_cls-9cxxe3of,infra-node
ccs_cls-4mbk7kv1_node,infra-node
ccs_cls-o5ez63sj_node,infra-node
cddsevk-恒运,logistics-mobility
cdh{R:7}_系统盘,infra-node
cdn-gateway,data-collection-delivery
cdn-tag,data-collection-delivery
cenOS_xxt,generic-unknown
censh-web3-backup,infra-node
centCode,dev-test-env
centOS,generic-unknown
centOS6.8x,generic-unknown
centOS_JY,education-learning
centOS_system,generic-unknown
cent_os7系统盘_中刊国际,media-news-portal
center_sh,infra-node
center_sh_3,infra-node
center_unionIOS_db,infra-database
center_unionIOS_login,game-service
centeros,generic-unknown
centos,generic-unknown
centos,generic-unknown
centos,generic-unknown
centos,generic-unknown
centos-1GB-sh,generic-unknown
centos-1GB-sh-34792恒,generic-unknown
centos-1GB-sh-43241恒,generic-unknown
centos-1GB-sh-6743_系统盘_问卷服务,data-collection-delivery
centos-1GB-sh-86363辰,generic-unknown
centos-1GB-sh_测试服务器硬盘,dev-test-env
centos-1GB-sh梓翀,personal-use
centos-2GB-sh,generic-unknown
centos-4GB-sh-1369_开天官网,corp-website-portal
centos-4GB-sh-iot,iot-saas-platform
centos-4GB-sh-production,infra-node
centos-4GB-sh_数据盘,generic-unknown
centos-8GB-sh,generic-unknown
centos-8GB-sh-3121_系统盘_gitlab_jks_showdoc,dev-test-env
centos-8GB-sh-3130_系统盘,infra-node
centos-8GB-sh-4687(正式版服务器),generic-unknown
centos-8GB-sh_德奕鑫云硬盘1,generic-unknown
centos-NaNGB-sh,generic-unknown
centos-app-db,infra-database
centos-one,generic-unknown
centos-proxy,infra-node
centos-量鼎通信,community-social-forum
centos64bit,generic-unknown
centos7-stig,infra-logging-monitoring
centos7.,generic-unknown
centos7.2x,generic-unknown
centos75initos,generic-unknown
centos7_5服务器,generic-unknown
centos_2c4g,generic-unknown
centos_systemdisk,infra-node
centos测试勿删,dev-test-env
centos测试服务器,dev-test-env
cents-zxz,generic-unknown
cenyh,generic-unknown
ceph,infra-node
ceph-test-03-dist-03_公共_测试平台,dev-test-env
ceshi,dev-test-env
cetosbj,generic-unknown
cg-server,media-video-streaming
cgame_3_hunfu_系统盘_cgamehunfu_battle,game-service
cglPc,media-video-streaming
cgw,infra-node
ch-dxc,office-system
chaihy,generic-unknown
changfu,generic-unknown
changshabadun_长沙巴顿,office-system
changtu,travel-hospitality
chaos,dev-test-env
chaotan,community-social-forum
charles,dev-test-env
charles-test-sh,dev-test-env
chas,generic-unknown
chat_goim_logic,community-social-forum
chb,generic-unknown
chcc_ngsm_api_曹操传_1,game-service
che,generic-unknown
chebaowang_系统盘,finance-payment
chelun_webS,corp-website-portal
chen,generic-unknown
"chen20190901,",personal-use
chenb,generic-unknown
cheng,generic-unknown
cheng_server,generic-unknown
chengding-tx-sh,generic-unknown
chengh,generic-unknown
chenghaibao,generic-unknown
chengji,education-learning
chenglezheng,generic-unknown
chenhao,generic-unknown
chenjian-frame_上海二区online,generic-unknown
chenjian-kafka_2,infra-message-queue
chenjian-kafka_kafka_1,infra-message-queue
chenjian-kafka_上海二区online_2,infra-message-queue
chenjian_0,personal-use
chenjie,generic-unknown
chenjie-B2B-CRM,office-system
chenjie-B2B-CRM_0,office-system
chenjie-bizcent-houtai-b2b-pd,office-system
chenliang_first_cloud,personal-use
chensongyan,personal-use
chentuliu,data-collection-delivery
chenwei,generic-unknown
chenwei-bizcent-b2b-erp-sqlserver_0,office-system
chenwei-bizcent-bbd-erp-mysql,office-system
chenwei-bizcent-bbd-erp-mysql_0,infra-database
chenzijia,personal-use
chihai自带硬盘,infra-node
childcode,dev-test-env
chinacenn/chinanewedu,education-learning
chinadirvers,logistics-mobility
chixm,generic-unknown
choushi_disk-ojsi84fd,infra-node
chris,personal-use
chrisman95-txy,personal-use
chsh_disk-1,infra-node
chuangku,generic-unknown
chuanq,game-service
chungo,generic-unknown
chunmeifuwuqi,generic-unknown
chx-sh,generic-unknown
chz,generic-unknown
ci-image-builder_曲奇生产环境,infra-node
ciderbakcdp,data-collection-delivery
ciderbakcdp_6,data-collection-delivery
ciderbakcds,data-collection-delivery
ciderbakcds_17,infra-node
cipher_系统盘,infra-node
cithub,generic-unknown
citus-master-1_企简ERP,infra-database
citus-worker,infra-database
city,gov-public-service
cityboat_sysc,travel-hospitality
civicer,gov-public-service
